"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"hall","n.","A2","大厅","The meeting is in the main hall.","What activities happen in school halls?"
"happily","adv.","A2","快乐地","They lived happily together.","What makes you live happily?"
"have","v.","A2","有","I have two cats.","What do you have that makes you proud?"
"headache","n.","A2","头痛","I have a terrible headache.","What usually gives you a headache?"
"heart","n.","A2","心脏；心","Exercise is good for your heart.","What touches your heart most deeply?"
"heat","n.","A2","热量","The heat in summer is unbearable.","How do you deal with extreme heat?"
"heavy","adj.","A2","重的","This bag is too heavy to carry.","What's the heaviest thing you've lifted?"
"height","n.","A2","高度","What's your height?","Are you comfortable with your height?"
"helpful","adj.","A2","有帮助的","The staff here are very helpful.","When were you most helpful to someone?"
"hero","n.","A2","英雄","My father is my hero.","Who is your hero and why?"
"hers","pron.","A2","她的","This book is hers.","When do you use 'hers' instead of 'her'?"
"herself","pron.","A2","她自己","She made dinner by herself.","What does your mother do by herself?"
"hide","v.","A2","隐藏","The children like to hide behind trees.","Where did you hide things as a child?"
"high","adj.","A2","高的","The mountain is very high.","What high places have you visited?"
"hill","n.","A2","小山","We climbed up the hill.","What can you see from a hill?"
"himself","pron.","A2","他自己","He cooked dinner by himself.","What does your father do by himself?"
"his","det.","A2","他的","This is his car.","What belongs to his family?"
"hit","v.","A2","击打","Don't hit your brother!","What do you hit when you're angry?"
"hockey","n.","A2","曲棍球","Ice hockey is popular in Canada.","What do you know about hockey?"
"hold","v.","A2","握住；举行","Hold my hand tightly.","What do you like to hold?"
"hole","n.","A2","洞","There's a hole in my sock.","What causes holes in clothes?"
"home","n.","A2","家","I miss my home.","What makes a house feel like home?"
"hope","v.","A2","希望","I hope you feel better soon.","What do you hope will happen tomorrow?"
"huge","adj.","A2","巨大的","The elephant is huge.","What's the most huge thing you've seen?"
"human","n.","A2","人类","Humans need water to survive.","What makes humans different from animals?"
"hurt","v.","A2","受伤；伤害","My arm hurts from yesterday's game.","What hurts your feelings most?"
"ideal","adj.","A2","理想的","This is the ideal job for me.","What's your ideal vacation?"
"identify","v.","A2","识别；确认","Can you identify this bird?","How do you identify good quality food?"
"ill","adj.","A2","生病的","She's been ill for three days.","What do you do when you feel ill?"
"illness","n.","A2","疾病","He's recovering from his illness.","What illness worries you most?"
"image","n.","A2","图像；形象","This image is very clear.","What image represents your country?"
"immediately","adv.","A2","立即","Please come here immediately.","What should you do immediately in an emergency?"
"impossible","adj.","A2","不可能的","It's impossible to learn everything.","What seemed impossible but you achieved it?"
"included","adj.","A2","包括的","Breakfast is included in the price.","What's included in your monthly expenses?"
"including","prep.","A2","包括","Everyone came, including my boss.","What skills are you learning, including languages?"
"increase","v.","A2","增加","Prices continue to increase.","What would you like to increase in your life?"
"incredible","adj.","A2","难以置信的","The view from here is incredible.","What incredible experience have you had?"
"independent","adj.","A2","独立的","She's very independent for her age.","When did you become independent?"
"individual","n.","A2","个人","Each individual has different needs.","What makes you unique as an individual?"
"industry","n.","A2","工业；行业","The car industry is changing rapidly.","What industry would you like to work in?"
"informal","adj.","A2","非正式的","This is an informal meeting.","When do you prefer informal situations?"
"injury","n.","A2","伤害","He has a serious leg injury.","What injury have you had from sports?"
"insect","n.","A2","昆虫","Bees are useful insects.","What insects do you see in your garden?"
"inside","adv.","A2","在里面","It's warm inside the house.","What's inside your bag right now?"
"instead","adv.","A2","代替","Let's walk instead of driving.","What do you choose instead of watching TV?"
"instruction","n.","A2","指示；说明","Follow the instructions carefully.","What instructions are difficult to understand?"
"instructor","n.","A2","教练；指导员","The swimming instructor is very patient.","What makes a good instructor?"
"instrument","n.","A2","乐器；仪器","I play a musical instrument.","What instrument would you like to learn?"
"intelligent","adj.","A2","聪明的","She's a very intelligent student.","What shows that someone is intelligent?"
"international","adj.","A2","国际的","English is an international language.","What international events do you follow?"
"introduction","n.","A2","介绍","Let me make a brief introduction.","What makes a good introduction in a presentation?"
"invent","v.","A2","发明","Who invented the telephone?","What would you like to invent?"
"invention","n.","A2","发明","The internet is a great invention.","What invention changed your life most?"
"invitation","n.","A2","邀请","I received a wedding invitation.","What invitation are you excited about?"
"invite","v.","A2","邀请","Would you like to invite them to dinner?","Who would you invite to your birthday party?"
"involve","v.","A2","涉及；包含","This job involves a lot of travel.","What activities involve teamwork?"
"item","n.","A2","物品","Each item costs five dollars.","What's the most expensive item you own?"
"itself","pron.","A2","它自己","The door closes by itself.","What problems solve themselves over time?"
"jam","n.","A2","果酱","I love strawberry jam on toast.","What jam do you prefer for breakfast?"
"jazz","n.","A2","爵士乐","My grandfather loves jazz music.","What do you think about jazz?"
"jewellery","n.","A2","珠宝","She wears beautiful jewellery.","What jewellery do you wear daily?"
"joke","n.","A2","笑话","That was a funny joke!","What makes a good joke?"
"journalist","n.","A2","记者","The journalist interviewed the mayor.","What questions would you ask as a journalist?"
"jump","v.","A2","跳","The cat can jump very high.","What makes you want to jump for joy?"
"kid","n.","A2","孩子（非正式）","The kids are playing in the park.","What did you love doing as a kid?"
"kill","v.","A2","杀死","Don't kill the spider, it's harmless.","What kills plants in your garden?"
"king","n.","A2","国王","The king ruled for thirty years.","What makes a good king or leader?"
"knee","n.","A2","膝盖","I hurt my knee playing football.","What do you do when your knee hurts?"
"knife","n.","A2","刀","Be careful with that sharp knife.","What do you use a knife for besides cutting food?"
"knock","v.","A2","敲门；撞击","Please knock before entering.","What do you do when someone knocks?"
"knowledge","n.","A2","知识","Knowledge is power.","What knowledge do you want to gain?"
"lab","n.","A2","实验室","We did experiments in the science lab.","What happens in a language lab?"
"lady","n.","A2","女士","The old lady needs help crossing.","What makes someone a true lady?"
"lake","n.","A2","湖","We went swimming in the lake.","What activities can you do at a lake?"
"lamp","n.","A2","灯","Turn on the desk lamp.","What type of lamp do you prefer for reading?"
"land","n.","A2","土地；陆地","This land belongs to my family.","What would you do with a piece of land?"
"laptop","n.","A2","笔记本电脑","I work on my laptop every day.","What do you use your laptop for most?"
"last1","adj.","A2","最后的","This is my last chance.","What was the last movie you watched?"
"later","adv.","A2","稍后","I'll call you later tonight.","What do you usually do later in the evening?"
"laughter","n.","A2","笑声","The room was filled with laughter.","What brings laughter to your life?"
"law","n.","A2","法律","Everyone must follow the law.","What law do you think should be changed?"
"lawyer","n.","A2","律师","She's studying to become a lawyer.","What makes a good lawyer?"
"lazy","adj.","A2","懒惰的","I feel lazy on Sunday mornings.","When do you feel most lazy?"
"lead1","v.","A2","领导；引导","She will lead the team to victory.","What qualities help someone lead others?"
"leader","n.","A2","领导者","He's a natural leader.","What leader do you admire most?"
"learning","n.","A2","学习","Learning English takes time.","What makes learning enjoyable for you?"
"least","adv.","A2","最少","At least try to finish your homework.","What do you worry about least?"
"lecture","n.","A2","讲座","The professor gave an interesting lecture.","What lecture topic would interest you?"
"lemon","n.","A2","柠檬","Add some lemon to the tea.","What do you use lemons for?"
"lend","v.","A2","借出","Can you lend me your pen?","What do you never lend to others?"
"less","adv.","A2","更少","I eat less sugar now.","What would you like to do less of?"
"level","n.","A2","水平；层次","What's your English level?","At what level do you play sports?"
"lifestyle","n.","A2","生活方式","He has a healthy lifestyle.","What would you change about your lifestyle?"
"lift","n.","A2","电梯","Take the lift to the third floor.","When do you use the lift instead of stairs?"
"light","n.","A2","光；灯","Turn off the light when you leave.","What kind of light do you prefer for studying?"
"likely","adj.","A2","可能的","It's likely to rain tomorrow.","What's likely to happen in your future?"
"link","n.","A2","链接；联系","Click on this link for more information.","What links you to your childhood friends?"
"listener","n.","A2","听众","She's an excellent listener.","What makes someone a good listener?"
"little","adj.","A2","小的","We have a little problem here.","What little things make you happy?"
"lock","v.","A2","锁","Don't forget to lock the door.","What do you always lock before leaving home?"
"look","n.","A2","看；外观","Take a look at this picture.","What look do you prefer for formal events?"
"lorry","n.","A2","卡车","The lorry is carrying furniture.","What do you see lorries transporting?"
"lost","adj.","A2","迷路的；丢失的","I'm completely lost in this city.","When was the last time you felt lost?"
"loud","adj.","A2","大声的","The music is too loud.","What sounds are too loud for you?"
"loudly","adv.","A2","大声地","He spoke loudly so everyone could hear.","When do you need to speak loudly?"
"lovely","adj.","A2","可爱的","What a lovely garden!","What's the most lovely place you've visited?"
"low","adj.","A2","低的","The battery is getting low.","What makes you feel low?"
"luck","n.","A2","运气","I wish you good luck!","What brings you luck?"
"lucky","adj.","A2","幸运的","I'm lucky to have great friends.","What makes you feel lucky?"
"mail","n.","A2","邮件","Check your mail for important letters.","How often do you check your mail?"
"major","adj.","A2","主要的","Traffic is a major problem here.","What's a major goal in your life?"
"male","adj.","A2","男性的","The male nurse was very kind.","What male role models do you have?"
"manage","v.","A2","管理；设法做到","I can't manage all this work alone.","How do you manage your time effectively?"
"manager","n.","A2","经理","The store manager solved our problem.","What makes a good manager?"
"manner","n.","A2","方式；举止","He spoke in a polite manner.","What manner of speaking do you prefer?"
"mark","n.","A2","分数；记号","I got a good mark on the test.","What mark would you give your English progress?"
"marry","v.","A2","结婚","When did they marry?","What age is good to marry?"
"material","n.","A2","材料","This shirt is made of cotton material.","What materials are used in your home?"
"mathematics","n.","A2","数学","Mathematics is challenging but useful.","How do you use mathematics in daily life?"
"maths","n.","A2","数学（简称）","I need help with my maths homework.","What part of maths do you find difficult?"
"matter","n.","A2","事情；物质","This is a serious matter.","What matters most to you in life?"
"may","v.","A2","可能；可以","You may leave early today.","What may change in your life next year?"
"media","n.","A2","媒体","Social media connects people globally.","What media do you use for news?"
"medical","adj.","A2","医学的","She needs medical attention immediately.","What medical knowledge is important for everyone?"
"medicine","n.","A2","药物；医学","Take this medicine twice daily.","What natural medicine do you believe in?"
"memory","n.","A2","记忆","I have a good memory for faces.","What's your earliest childhood memory?"
"mention","v.","A2","提到","Did I mention I'm moving?","What do you often mention in conversations?"
"metal","n.","A2","金属","The bike frame is made of metal.","What metal objects do you use daily?"
"method","n.","A2","方法","What's your method for learning vocabulary?","What's the best method to stay healthy?"
"middle","adj.","A2","中间的","Sit in the middle of the room.","What happens in the middle of your day?"
"might","v.","A2","可能","It might snow tonight.","What might you do differently tomorrow?"
"mind","n.","A2","头脑；思想","I can't get this song out of my mind.","What's always on your mind?"
"mine","pron.","A2","我的","This book is mine, not yours.","What's mine that you would like to borrow?"
"mirror","n.","A2","镜子","Look at yourself in the mirror.","What do you see in the mirror each morning?"
"missing","adj.","A2","缺失的","One button is missing from this shirt.","What's missing from your ideal life?"
"mobile","n.","A2","手机","I left my mobile at home.","How often do you check your mobile?"
"monkey","n.","A2","猴子","The monkey swings from tree to tree.","What do you know about monkey behavior?"
"moon","n.","A2","月亮","The full moon is beautiful tonight.","When do you notice the moon most?"
"mostly","adv.","A2","主要地","I mostly eat vegetables.","What do you mostly do on weekends?"
"motorcycle","n.","A2","摩托车","He rides his motorcycle to work.","What do you think about motorcycle safety?"
"movement","n.","A2","运动；移动","Dance is a beautiful form of movement.","What movement activities do you enjoy?"
"musical","adj.","A2","音乐的","She has great musical talent.","What musical instruments interest you?"
"musician","n.","A2","音乐家","The street musician played beautifully.","What musician inspires you most?"
"myself","pron.","A2","我自己","I taught myself to play guitar.","What have you taught yourself?"
"narrow","adj.","A2","狭窄的","The street is too narrow for cars.","What narrow spaces make you uncomfortable?"
"national","adj.","A2","国家的","English is our national language.","What's your national dish?"
"nature","n.","A2","自然","I love spending time in nature.","What aspect of nature amazes you most?"
"nearly","adv.","A2","几乎","It's nearly time to go home.","What are you nearly finished with?"
"necessary","adj.","A2","必要的","Sleep is necessary for good health.","What's necessary for happiness?"
"neck","n.","A2","脖子","She wore a scarf around her neck.","What do you do when your neck hurts?"
"need","n.","A2","需要","There's a need for more doctors.","What's the greatest need in your community?"
"neither","adv.","A2","两者都不","Neither option sounds good to me.","What would you choose when neither option appeals?"
"nervous","adj.","A2","紧张的","I always feel nervous before exams.","What makes you most nervous?"
"network","n.","A2","网络","The internet is a global network.","What network do you use for professional contacts?"
"noise","n.","A2","噪音","The construction noise is annoying.","What noise bothers you most?"
"noisy","adj.","A2","吵闹的","This restaurant is too noisy.","What's the most noisy place you've been?"
"none","pron.","A2","没有一个","None of the answers are correct.","What question has none of the expected answers?"
"normal","adj.","A2","正常的","This weather is normal for December.","What's normal behavior in your culture?"
"normally","adv.","A2","通常","I normally wake up at 7 AM.","What do you normally do after work?"
"notice","v.","A2","注意到","Did you notice her new haircut?","What details do you always notice?"
"novel","n.","A2","小说","I'm reading an interesting novel.","What novel has influenced your thinking?"
"nowhere","adv.","A2","无处","There's nowhere to park here.","What's something you can find nowhere else?"
"number","n.","A2","数字","Write down your phone number.","What's your lucky number and why?"
"nut","n.","A2","坚果","Almonds are my favorite nuts.","What nuts do you eat for health?"
"ocean","n.","A2","海洋","The Pacific Ocean is huge.","What would you do if you lived by the ocean?"
"offer","v.","A2","提供","Can I offer you some tea?","What do you like to offer guests?"
"officer","n.","A2","军官；警官","The police officer helped us.","What qualities make a good officer?"
"oil","n.","A2","油","Add some oil to the pan.","What oil do you use for cooking?"
"onto","prep.","A2","到...上","Jump onto the stage.","What do you like to climb onto?"
"opportunity","n.","A2","机会","This is a great opportunity to learn.","What opportunity would you never miss?"
"option","n.","A2","选择","We have several options available.","What option would you choose for vacation?"
"ordinary","adj.","A2","普通的","It was just an ordinary day.","What makes an ordinary day special?"
"organization","n.","A2","组织","She works for a charity organization.","What organization would you like to support?"
"organize","v.","A2","组织","Who will organize the party?","What event would you like to organize?"
"original","adj.","A2","原创的","This is an original painting.","What original idea do you have?"
"ourselves","pron.","A2","我们自己","We painted the house ourselves.","What have you done by ourselves?"
"outside","n.","A2","外面","Let's eat outside today.","What do you like about being outside?"
"oven","n.","A2","烤箱","Bake the cake in the oven.","What do you cook in the oven?"
"own","v.","A2","拥有","I don't own a car.","What would you like to own someday?"
"owner","n.","A2","主人；业主","The dog ran back to its owner.","What responsibilities do owners have?"
"pack","v.","A2","打包","Pack your clothes for the trip.","What do you always pack when traveling?"
"pain","n.","A2","疼痛","I have a pain in my back.","What pain have you learned to live with?"
"painter","n.","A2","画家","The painter finished the portrait.","What painter's work do you admire?"
"palace","n.","A2","宫殿","The royal palace is magnificent.","What would you do if you lived in a palace?"
"pants","n.","A2","裤子","These pants are too tight.","What style of pants do you prefer?"
"parking","n.","A2","停车","Finding parking downtown is difficult.","Where do you usually find parking?"
"particular","adj.","A2","特别的","I like this particular song.","What particular food do you crave?"
"pass","v.","A2","通过；传递","Please pass the salt.","What exam do you hope to pass?"
"passenger","n.","A2","乘客","The train can carry 200 passengers.","What do you do as a passenger on long trips?"
"past","n.","A2","过去","Don't worry about the past.","What from your past makes you proud?"
"patient","n.","A2","病人","The doctor examined the patient.","How should we treat patients with respect?"
"pattern","n.","A2","图案；模式","I love the pattern on this dress.","What patterns do you notice in nature?"
"pay","n.","A2","薪水","The job offers good pay.","What would you do for better pay?"
"peace","n.","A2","和平","We all hope for world peace.","What brings you inner peace?"
"penny","n.","A2","便士","Every penny counts when saving money.","What would you do for every penny?"
"per","prep.","A2","每","The speed limit is 60 miles per hour.","How many hours per day do you study?"
"per cent","n.","A2","百分比","Only 20 per cent passed the test.","What per cent of your day is work?"
"perform","v.","A2","表演；执行","The band will perform tonight.","What would you like to perform on stage?"
"perhaps","adv.","A2","也许","Perhaps we should leave early.","What perhaps would make your life better?"
"permission","n.","A2","许可","You need permission to enter.","What permission do you need for your goals?"
"personality","n.","A2","个性","She has a wonderful personality.","What personality trait do you most admire?"
"pet","n.","A2","宠物","My pet rabbit loves carrots.","What pet would you choose and why?"
"petrol","n.","A2","汽油","The car needs more petrol.","How do you save money on petrol?"
"photograph","n.","A2","照片","This photograph brings back memories.","What photograph is most precious to you?"
"physical","adj.","A2","身体的","Regular exercise improves physical health.","What physical activity do you enjoy most?"
"physics","n.","A2","物理学","Physics explains how things work.","What physics concept fascinates you?"
"pick","v.","A2","挑选；采摘","Pick your favorite color.","What do you pick when choosing friends?"
"pilot","n.","A2","飞行员","The pilot landed the plane safely.","What qualities make a good pilot?"
"planet","n.","A2","行星","Earth is our home planet.","What planet would you like to visit?"
"plant","v.","A2","种植","Let's plant flowers in the garden.","What would you like to plant?"
"plastic","n.","A2","塑料","Try to use less plastic bags.","How do you reduce plastic waste?"
"plate","n.","A2","盘子","Put the food on a clean plate.","What do you eat from a plate versus a bowl?"
"platform","n.","A2","平台；站台","Wait on platform 3 for the train.","What platform do you use for communication?"
"please","v.","A2","取悦","It's hard to please everyone.","What actions please your parents?"
"pleased","adj.","A2","高兴的","I'm pleased with your progress.","What achievement makes you most pleased?"
"pocket","n.","A2","口袋","Keep your wallet in a safe pocket.","What do you always carry in your pocket?"
"polite","adj.","A2","礼貌的","Remember to be polite to strangers.","What polite behavior is important in your culture?"
"pollution","n.","A2","污染","Air pollution affects our health.","What pollution problems exist in your area?"
"pop","n.","A2","流行音乐","I enjoy listening to pop music.","What pop songs do you know by heart?"
"population","n.","A2","人口","The city's population is growing.","What affects population growth in cities?"
"position","n.","A2","位置；职位","She got a new position at work.","What position would you like in a company?"
"possession","n.","A2","财产","All his possessions fit in one bag.","What possession means most to you?"
"possibility","n.","A2","可能性","There's a possibility of rain today.","What possibility excites you most?"
"poster","n.","A2","海报","The movie poster looks exciting.","What poster hangs in your room?"
"pot","n.","A2","锅","Cook the soup in a large pot.","What do you cook in a pot?"
"pound","n.","A2","磅","The bag weighs five pounds.","What do you measure in pounds?"
"power","n.","A2","力量；电力","Knowledge gives you power.","What power would you use for good?"
"predict","v.","A2","预测","It's hard to predict the weather.","What do you predict for the future?"
"present","v.","A2","呈现；介绍","Let me present our new project.","What would you like to present to the world?"
"president","n.","A2","总统","The president gave a speech.","What qualities should a president have?"
"prevent","v.","A2","预防","Eating well can prevent illness.","What do you do to prevent stress?"
"print","v.","A2","打印","Please print two copies of this.","What do you need to print regularly?"
"printer","n.","A2","打印机","The printer is out of ink.","What problems do you have with printers?"
"prison","n.","A2","监狱","He was sent to prison for theft.","What would prevent people from going to prison?"
"prize","n.","A2","奖品","She won first prize in the contest.","What prize would motivate you most?"
"process","n.","A2","过程","Learning is a gradual process.","What process do you find most challenging?"
"produce","v.","A2","生产","This factory produces cars.","What does your region produce?"
"professional","adj.","A2","专业的","He gave very professional advice.","What professional skills do you want to develop?"
"professor","n.","A2","教授","The professor teaches history.","What subject would you like to be a professor of?"
"profile","n.","A2","简介；轮廓","Update your social media profile.","What information do you include in your profile?"
"program","n.","A2","程序；项目","This TV program is very popular.","What program helps you learn English?"
"progress","n.","A2","进步","You're making good progress!","What progress are you most proud of?"
"promise","v.","A2","承诺","I promise to help you.","What promise is important to keep?"
"pronounce","v.","A2","发音","How do you pronounce this word?","What words are difficult to pronounce?"
"protect","v.","A2","保护","We must protect the environment.","What do you want to protect most?"
"provide","v.","A2","提供","Schools provide education for children.","What services do libraries provide?"
"pub","n.","A2","酒吧","Let's meet at the local pub.","What do people do in pubs?"
"public","adj.","A2","公共的","The park is open to the public.","What public services do you use?"
"publish","v.","A2","出版","The company will publish her book.","What would you like to publish?"
"pull","v.","A2","拉","Pull the door to open it.","What do you need to pull to operate?"
"purpose","n.","A2","目的","What's the purpose of this meeting?","What purpose drives your daily actions?"
"push","v.","A2","推","Push the button to start.","What situations push you to work harder?"
"quality","n.","A2","质量","This product has excellent quality.","What quality do you value in friends?"
"quantity","n.","A2","数量","The quantity of food was enormous.","What's more important: quality or quantity?"
"queen","n.","A2","女王","The queen visited our city.","What qualities should a queen have?"
"question","n.","A2","问题","Do you have any questions?","What question do you ask yourself often?"
"quietly","adv.","A2","安静地","Please speak quietly in the library.","When do you prefer to work quietly?"
"race","n.","A2","比赛；种族","Who won the race?","What race would you like to participate in?"
"railway","n.","A2","铁路","The railway connects major cities.","How important is railway transport in your area?"
"raise","v.","A2","举起；抚养","Raise your hand if you agree.","What issues would you like to raise?"
"rate","n.","A2","比率；速度","The success rate is very high.","At what rate do you learn new things?"
"rather","adv.","A2","相当；宁愿","I'd rather stay home tonight.","What would you rather do than work?"
"reach","v.","A2","到达；够到","Can you reach that shelf?","What goal do you hope to reach?"
"react","v.","A2","反应","How did you react to the news?","What situations make you react strongly?"
"realize","v.","A2","意识到","I didn't realize you were here.","What important thing did you recently realize?"
"receive","v.","A2","收到","Did you receive my message?","What do you like to receive on birthdays?"
"recent","adj.","A2","最近的","Have you seen any recent movies?","What recent change has affected you?"
"recently","adv.","A2","最近","I started learning Spanish recently.","What have you started recently?"
"reception","n.","A2","接待；接收","The hotel reception is downstairs.","What makes good customer reception?"
"recipe","n.","A2","食谱","This cake recipe is delicious.","What recipe would you like to learn?"
"recognize","v.","A2","认出","I didn't recognize you with short hair.","What helps you recognize people easily?"
"recommend","v.","A2","推荐","Can you recommend a good restaurant?","What book would you recommend to friends?"
"record","v.","A2","记录；录制","Please record this conversation.","What memories do you like to record?"
"recording","n.","A2","录音","Listen to this recording carefully.","What type of recording do you make?"
"recycle","v.","A2","回收利用","We should recycle plastic bottles.","What materials do you recycle at home?"
"reduce","v.","A2","减少","We need to reduce plastic waste.","What would you like to reduce in your life?"
"refer","v.","A2","提到；参考","Please refer to page 10.","What book do you often refer to?"
"refuse1","v.","A2","拒绝","I refuse to give up.","What offers do you typically refuse?"
"region","n.","A2","地区","This region is famous for wine.","What's special about your region?"
"regular","adj.","A2","定期的；常规的","I go to the gym on a regular basis.","What regular activities keep you healthy?"
"relationship","n.","A2","关系","They have a strong relationship.","What makes a good relationship?"
"remove","v.","A2","移除","Please remove your shoes.","What would you like to remove from your daily routine?"
"repair","v.","A2","修理","Can you repair my bicycle?","What things can you repair yourself?"
"replace","v.","A2","替换","We need to replace the old computer.","What in your home needs to be replaced?"
"reply","v.","A2","回复","Please reply to my email.","How quickly do you reply to messages?"
"report","v.","A2","报告","The news will report on the event.","What would you like to report about your community?"
"reporter","n.","A2","记者","The reporter asked tough questions.","What questions would you ask as a reporter?"
"request","n.","A2","请求","I have a special request.","What request do you make most often?"
"research","n.","A2","研究","The research shows interesting results.","What topic would you like to research?"
"researcher","n.","A2","研究员","The researcher published important findings.","What field would you work in as a researcher?"
"respond","v.","A2","回应","How did you respond to the criticism?","What situations make you respond emotionally?"
"response","n.","A2","回应","I'm waiting for your response.","What response do you give to compliments?"
"rest","n.","A2","休息","You need more rest.","What activities help you rest?"
"review","n.","A2","评论；复习","The movie got a good review.","What do you review before important tests?"
"ride","v.","A2","骑；乘坐","I ride my bike to work.","What do you like to ride for fun?"
"ring1","n.","A2","戒指","She wears a beautiful ring.","What ring would you choose for marriage?"
"ring2","v.","A2","响铃；打电话","The phone is ringing.","When does your alarm ring?"
"rise","v.","A2","上升","The sun rises in the east.","What makes your energy rise?"
"rock","n.","A2","岩石","The children climbed on the rock.","What would you build with rocks?"
"role","n.","A2","角色","He plays an important role.","What role do you play in your family?"
"roof","n.","A2","屋顶","Snow is falling on the roof.","What would you put on your roof?"
"round","adj.","A2","圆的","The table is round.","What round objects do you use daily?"
"route","n.","A2","路线","Take this route to avoid traffic.","What route do you take to work?"
"rubbish","n.","A2","垃圾","Put the rubbish in the bin.","What rubbish do you produce most?"
"rude","adj.","A2","粗鲁的","It's rude to interrupt people.","What behavior do you consider rude?"
"run","v.","A2","跑","I run every morning.","Where do you like to run?"
"runner","n.","A2","跑步者","The runner finished first.","What makes a good long-distance runner?"
"running","n.","A2","跑步","Running is good exercise.","What benefits do you get from running?"
"sadly","adv.","A2","悲伤地","Sadly, the party was cancelled.","What news would you sadly have to share?"
"safe","adj.","A2","安全的","This neighborhood is safe.","What makes you feel safe at home?"
"sail","v.","A2","航行","We sail every weekend.","Where would you like to sail?"
"sailing","n.","A2","帆船运动","Sailing requires skill and patience.","What attracts people to sailing?"
"salary","n.","A2","薪水","My salary covers all expenses.","What salary would make you happy?"
"sale","n.","A2","销售；减价","There's a big sale at the store.","What do you buy during sales?"
"sauce","n.","A2","酱汁","This pasta sauce is delicious.","What sauce do you put on everything?"
"save","v.","A2","拯救；节省","We must save water.","What are you trying to save money for?"
"scared","adj.","A2","害怕的","I'm scared of spiders.","What situations make you feel scared?"
"scary","adj.","A2","可怕的","That was a scary movie.","What's the most scary thing you've experienced?"
"scene","n.","A2","场景","The crime scene was protected.","What scene from a movie do you remember?"
"schedule","n.","A2","时间表","My schedule is very busy today.","How do you organize your daily schedule?"
"score","n.","A2","分数","What was your test score?","What score would make you proud?"
"screen","n.","A2","屏幕","The computer screen is too bright.","How many hours do you look at screens daily?"
"search","v.","A2","搜索","I need to search for information.","What do you search for most online?"
"season","n.","A2","季节","Spring is my favorite season.","What season do you enjoy most and why?"
"seat","n.","A2","座位","Please take a seat.","What type of seat is most comfortable?"
"second1","n.","A2","秒","Wait just one second.","What can you do in one second?"
"secondly","adv.","A2","其次","Firstly we'll eat, secondly we'll talk.","What would you change about your life, secondly?"
"secret","n.","A2","秘密","Can you keep a secret?","What secret talent do you have?"
"secretary","n.","A2","秘书","The secretary scheduled the meeting.","What skills does a good secretary need?"
"seem","v.","A2","似乎","You seem tired today.","What situations seem difficult but are actually easy?"
"sense","n.","A2","感觉；意义","This doesn't make sense.","What sense do you rely on most?"
"separate","v.","A2","分离","Please separate the colors from whites.","What things do you prefer to keep separate?"
"series","n.","A2","系列","I'm watching a new TV series.","What series have you watched completely?"
"serious","adj.","A2","严肃的；严重的","This is a serious problem.","What serious decision are you considering?"
"serve","v.","A2","服务；提供","The restaurant serves excellent food.","What community would you like to serve?"
"service","n.","A2","服务","The customer service was helpful.","What service do you use most often?"
"several","adj.","A2","几个","I have several books to read.","What several things are you good at?"
"shake","v.","A2","摇动","Shake the bottle before use.","What makes your hands shake?"
"shall","v.","A2","将要","Shall we go now?","What shall you do this weekend?"
"shape","n.","A2","形状","What shape is this table?","What shape do you find most pleasing?"
"sheet","n.","A2","床单；纸张","Change the bed sheets weekly.","What information do you keep on paper sheets?"
"ship","n.","A2","船","The ship sailed across the ocean.","What would you take on a long ship journey?"
"shoulder","n.","A2","肩膀","I have pain in my shoulder.","What do you carry on your shoulders?"
"shout","v.","A2","喊叫","Don't shout at me!","What situations make you want to shout?"
"shut","v.","A2","关闭","Please shut the window.","What do you shut when you're concentrating?"
"side","n.","A2","边；侧面","Stand on this side of the line.","What side of yourself do you show friends?"
"sign","n.","A2","标志；迹象","Look for the stop sign.","What sign tells you spring is coming?"
"silver","n.","A2","银","This necklace is made of silver.","What silver object do you treasure?"
"simple","adj.","A2","简单的","The solution is very simple.","What simple pleasure brings you joy?"
"since","prep.","A2","自从","I've lived here since 2010.","What have you done since last year?"
"singing","n.","A2","唱歌","I love singing in the shower.","What benefits does singing bring?"
"single","adj.","A2","单一的；单身的","Not a single person came.","What single change would improve your life?"
"sir","n.","A2","先生","Excuse me, sir.","When do you use 'sir' in conversation?"
"site","n.","A2","网站；地点","This is an interesting historical site.","What site do you visit for entertainment?"
"size","n.","A2","尺寸","What size shoes do you wear?","What size house would be perfect for you?"
"ski","v.","A2","滑雪","I learned to ski last winter.","What skills do you need to ski well?"
"skiing","n.","A2","滑雪运动","Skiing is an expensive sport.","What attracts people to skiing?"
"skin","n.","A2","皮肤","Protect your skin from the sun.","What keeps your skin healthy?"
"sky","n.","A2","天空","The sky is clear today.","What do you see when you look at the sky?"
"sleep","v.","A2","睡觉","I need eight hours of sleep.","What helps you sleep better?"
"slowly","adv.","A2","慢慢地","Please speak slowly.","What do you prefer to do slowly?"
"smartphone","n.","A2","智能手机","My smartphone battery is dead.","What smartphone features do you use most?"
"smell","v.","A2","闻","I can smell fresh bread.","What smell brings back childhood memories?"
"smile","v.","A2","微笑","She has a beautiful smile.","What makes you smile every day?"
"smoke","n.","A2","烟","There's smoke coming from the chimney.","What do you think about smoke in public places?"
"smoking","n.","A2","吸烟","Smoking is bad for your health.","What do you think about smoking in public?"
"soap","n.","A2","肥皂","Wash your hands with soap.","What type of soap do you prefer?"
